1056,amatory,of or relating to love
1057,ambidextrous,having equal ability in both hands
1058,ambiguous,"to be vague, non-specific"
1059,ambitious,"possessing, or controlled by ambition"
1060,ambivalent,"experiencing contradictory feelings, beliefs, or motivations"
1061,ambrosial,succulently sweet or fragrant
1062,amenable,"open to influence or advice, agreeable"
1063,amiable,"friendly, sociable"
1064,amicable,"peaceable, characterized by showing goodwill"
1065,amiss,"wrong, faulty, out of order, improper"
1066,amoral,being neither moral nor immoral
1067,amorous,"inclined to love, having a propensity to love"
1068,amorphous,lacking definite form
1069,amphibious,able to live in water and on land
1070,ample,"large, great in size, extent, capacity, or bulk, spacious"
1071,analgesic,"of or relating to analgesia, anodyne"
1072,analogous,"corresponding to something else, bearing some resemblance"
1073,ancillary,"subordinate, secondary, auxiliary, accessory"
1074,angelic,"belonging to, resembling, or proceeding from, angels"
1075,anglo-saxon,native or inhabitant of england prior to the norman conquest
1076,angular,"relating to an angle or angles, having an angle or angles"
1077,anhydrous,free from water
1078,anomalous,"deviating from what is standard, expected or normal"
1079,antediluvian,"old, ancient"
1080,antemeridian,"of or relating to morning, that happens in the morning"
1081,antemundane,being or occurring prior to the creation of the world
1082,antenatal,occurring or existing before birth
1083,anterior,before in place
1084,anthropocentric,giving preference to humans above all other considerations
1085,anthropoid,having characteristics of a human being
1086,anthropomorphous,resembling a human being
1087,antique,"of, or belonging to the past, not modern"
1088,antiseptic,"of, or relating to antisepsis, or the use of antiseptics"
1089,antislavery,opposed to the practice of slavery
1090,antispasmodic,"referring to something that suppresses spasms, like a drug"
1091,anxious,"greatly concerned, respecting something future or unknown"
1092,apocryphal,of doubtful authenticity
1093,apolitical,having no interest or involvement in politics
1094,appalling,causing dismay or horror
1095,apparent,"capable of being seen, or easily seen"
1096,appellate,describing something that is appealed to
1097,applicable,"suitable for application, relevant, appropriate"
1098,apposite,"appropriate, relevant, well-suited, fit"
1099,apprehensive,anticipating something with anxiety or fear
1100,appropriate,suitable or fitting for a particular purpose
1101,apropos,of an appropriate or pertinent nature
1102,aquatic,relating to water
1103,aqueous,consisting mostly of water
1104,arable,"suitable for cultivation, such as by ploughing"
1105,arbitrary,"random, not based on reason or system"
1106,arboreal,of or relating to trees
1107,arcane,known or understood by very few
1108,archaic,of or characterized by antiquity
1109,ardent,"intensely devoted, fervent, passionate"
1110,arduous,difficult and tiring
1111,arid,extremely dry
1112,arrant,"complete, total"
1113,arrogant,"haughty, conceited"
1114,artesian,pertaining to a well in which water rises from pressure
1115,artful,"performed with, or characterized by, art or skill"
1116,arthurian,of or relating to the legend of king arthur
1117,artless,"having or displaying no guile, cunning, or deceit"
1118,ascendant,"rising, moving upward"
1119,aseptic,free of disease-causing microbes
1120,asexual,"having no distinct sex, having no interest in sex"
1121,ashen,of the pale gray color of ash
1122,asinine,"foolish, unintelligent or silly"
1123,askance,"turned to the side, especially of the eyes"
1124,askew,turned or twisted to one side
1125,assiduous,"diligent, industrious"
1126,assonant,having successive similar vowel sounds
1127,astral,"relating to or resembling the stars, starry"
1128,astringent,"sharp, caustic, severe"
1129,astute,"shrewd, sharp"
1130,asunder,"apart, divided"
1131,atheist,"of or relating to atheists or atheism, atheistic"
1132,athirst,thirsty
1133,atrocious,"frightful, evil, cruel or monstrous"
1134,atypical,not conforming to the normal type
1135,auburn,of a reddish-brown colour
1136,audacious,"showing willingness to take bold risks, recklessly daring"
1137,audible,capable of being heard
1138,auditory,"of, or relating to hearing"
1139,august,"inspiring reverence or admiration, majestic"
1140,aural,of or pertaining to the ear
1141,auriferous,"containing or producing gold, gold-bearing"
1142,auroral,pertaining to the dawn
1143,austere,"severe or strict in manner, attitude, or appearance"
1144,authentic,"of the same origin as claimed, genuine"
1145,authoritarian,"of, or relating to, absolute obedience to an authority"
1146,autumnal,of or relating to autumn
1147,auxiliary,"helping, giving assistance or support"
1148,avant-garde,"innovative, pioneering, especially when obviously so"
1149,avid,having or showing keen interest
1150,avuncular,"in the manner of an uncle, pertaining to an uncle"
1151,awry,"crooked, distorted, out of place"
1152,azure,"a light, purplish shade of blue"
1153,bacchanalian,riotously drunken
1154,baconian,of or pertaining to the philosopher Francis Bacon
1155,baleful,"threatening harm, menacing"
1156,banal,so lacking in originality as to be obvious and boring
1157,barren,"empty, vacant"
1158,bashful,"shy, inclined to avoid notice"
1159,bass,of sound which is low in pitch or frequency
1160,bawdy,"soiled, dirty"
1161,beatific,"blessed, blissful, heavenly"
1162,bellicose,demonstrating aggression and willingness to fight
1163,belligerent,"hostile, aggressive"
1164,beneficial,helpful or good to something or someone
1165,benevolent,having a disposition to do good
1166,benign,"gentle, kindly"
1167,bent,"curved, crooked"
1168,bereft,deprived
1169,berserk,furiously violent or out of control
1170,bestial,beast-like
1171,bibulous,very absorbent
1172,bicameral,"pertaining to, two separate legislative chambers or houses"
1173,biennial,happening every two years
1174,bilateral,having two sides
1175,bilingual,fluent in two languages
1176,bilious,"peevish, irritable"
1177,bizarre,strangely unconventional in style or appearance
1178,bland,"mild, soft, gentle"
1179,blas├⌐,uninterested because of frequent exposure or indulgence
1180,blatant,obvious
1181,bleak,"bare, desolate"
1182,blithe,showing a casual indifference which is callous or improper
1183,blithesome,"happy or spriteful, carefree"
1184,bloated,"swollen, puffed up"
1185,bodily,"of, relating to, or concerning the body"
1186,bogus,"counterfeit or fake, not genuine"
1187,boisterous,"noisy, energetic, rowdy"
1188,bombastic,ostentatiously lofty in style
1189,bon mot,"a witty remark or comment, clever saying, witticism"
1190,bona fide,"genuine, real"
1191,booming,having a great period of prosperity
1192,bosom,in a very close relationship
1193,bountiful,having a quantity or amount that is generous or plentiful
1194,bovine,"of, relating to, or affecting cattle"
1195,brackish,"salty or slightly salty, as a mixture of fresh and sea water"
1196,brash,impetuous or rash
1197,brazen,bold and without shame
1198,brimstone,about or pertaining to hell
1199,brindled,"of a brownish, tawny or gray colour, with streaks or spots"
1200,brittle,liable to break or snap easily under stress or pressure
1201,brusque,"rudely abrupt, unfriendly"
1202,bulbous,"having the shape of or resembling a bulb, bloated"
1203,bumptious,"obtrusively pushy, self-assertive to a pretentious extreme"
1204,buoyant,"having buoyancy, able to float"
1205,burly,"large, well-built, and muscular"
1206,buxom,"having a voluptuous figure, especially having large breasts"
1207,caitiff,"especially despicable, cowardly"
1208,calculable,able to be calculated
1209,callosity,hardheartedness
1210,callous,showing a cruel and insensitive disregard for others
1211,callow,immature or inexperienced
1212,calorific,pertaining to conversion into heat
1213,calvish,"like a calf, stupid"
1214,candid,"free from prejudice, impartial"
1215,canine,"of, or pertaining to, a dog or dogs"
1216,canny,"careful, prudent, cautious"
1217,cantankerous,"ill-tempered, cranky, surly, crabby"
1218,capacious,"having a lot of space inside, roomy"
1219,capillary,of or pertaining to hair
1220,capricious,"given to sudden, unaccountable changes of mood or behavior"
1221,captious,apt to notice and make much of trivial defaults
1222,cardiac,pertaining to the heart
1223,cardinal,"of fundamental importance, crucial, pivotal"
1224,carnal,relating to the physical and especially sexual appetites
1225,carnivorous,"feeding on other animals, meat-eaters"
1226,categorical,"absolute, having no exception"
1227,catholic,"all embracing, general"
1228,causal,"of, relating to, or being a cause of something, causing"
1229,caustic,capable of destroying or eating away by chemical action
1230,celibate,abstaining from marriage and sexual relations
1231,censorious,addicted to censure and scolding
1232,censurable,"deserving of censure, blameworthy"
1233,centenary,"of, pertaining to, or completing a period of 100 years"
1234,cerebral,intellectual rather than emotional or physical
1235,ceremonial,"of, relating to, or used in a ceremony, ritual or formal"
1236,chameleon,describing something that changes color
1237,characteristic,being a distinguishing feature of a person or thing
1238,chary,"cautious, wary"
1239,chaste,"abstaining from sexual intercourse, celibate"
1240,chattel,a movable article of personal property
1241,chauvinist,a person who believes one gender is superior to the other
1242,cherubic,"of, or relating to a cherub, angelic"
1243,choral,"of, relating to, written for, or performed by a choir"
1244,chromatic,relating to or characterised by hue
1245,chronic,that continues over an extended period of time
1246,churlish,"boorish, vulgar"
1247,circuitous,"roundabout, longer than the most direct way"
1248,circumspect,wary and unwilling to take risks
1249,clairvoyant,having the power to see beyond the natural range of vision
1250,clandestine,kept secret or done secretly
1251,clarion,loud and clear
1252,clement,"lenient or merciful, charitable"
1253,clumsy,"awkward, lacking coordination, not graceful, not dextrous"
1254,cogent,"to the point, relevant"
1255,cognate,"related by birth, of the same parentage"
1256,cognizant,having awareness of (something)
1257,cohesive,having unity
1258,collateral,"parallel, along the same vein, side by side"
1259,collective,"gathered into a mass, sum, or body"
1260,colloquial,ordinary or familiar language rather than formal language
1261,comely,"(woman) pleasant to look at, agreeable"
1262,comestible,"suitable to be eaten, edible"
1263,comical,"funny, amusing"
1264,commensurate,corresponding in size or degree
1265,committal,of or relating to a committee
1266,commodious,"spacious and convenient, roomy and comfortable"
1267,comparable,able to be compared
1268,comparative,"perceptible by comparison, relative"
1269,compatible,able to co-exist or occur together without conflict
1270,competent,"having the necessary ability, knowledge, or skill"
1271,complacent,smug or uncritical satisfaction with one's achievements
1272,complaisant,"willing to please others, obliging"
1273,compliant,"inclined to agree with others, especially submissively"
1274,component,"making up a larger whole, as a component word"
1275,comprehensible,able to be understood
1276,comprehensive,"complete, including all or nearly all elements or aspects"
1277,compressible,able to be compressed
1278,compulsory,"required, obligatory, mandatory"
1279,concerted,planned or devised together
1280,conciliatory,intended or likely to placate or pacify
1281,concise,brief but comprehensive
1282,conclusive,"serving to prove a case, convincing"
1283,concomitant,"accompanying, concurrent"
1284,concurrent,"happening at the same time, simultaneous"
1285,conditional,subject to one or more requirements being met
1286,conducive,"tending to contribute to, encourage"
1287,conductible,able to conduct
1288,confident,being very sure of or positive about something
1289,confluent,"(of wind) which converges, esp. When seen on a weather chart"
1290,conformable,"corresponding in shape, similar"
1291,conformist,a person who conforms to the standards of a group
1292,congenial,having the same or very similar nature or personality
1293,congenital,present since birth
1294,congruent,"agreeing, accordant, congruous"
1295,coniferous,"bearing cones, as the pine and cypress"
1296,conjugal,"of, or relating to marriage, or the relationship of spouses"
1297,connubial,of or relating to the state of being married
1298,consanguineous,"related by birth, having the same ancestry"
1299,conscientious,"thorough, careful, or vigilant"
1300,consecutive,"following, in succession, without interruption"
1301,conservative,tending to resist change
1302,conservatory,a college for the study of classical music or other arts
1303,consonant,characterized by harmony or agreement
1304,conspicuous,"obvious or easy to notice, attracting notice or attention"
1305,constituent,part of a whole
1306,consumptive,"tending to consume, destructive, wasteful"
1307,contagious,"of a disease, easily transmitted to others"
1308,contemporaneous,existing or occurring in the same period of time
1309,contemporary,"from the same time period, coexistent in time"
1310,contemptible,"deserving of or held in contempt,  despicable"
1311,contemptuous,"scornful, disdainful"
1312,contentious,"causing or likely to cause an argument, controversial"
1313,contiguous,"connected, touching, abutting"
1314,contingent,"possible or liable, but not certain to occur, incidental"
1315,contraband,prohibited from being traded
1316,contradictory,mutually opposed or inconsistent
1317,contrite,feeling or expressing remorse or penitence
1318,contumacious,stubbornly or willfully disobedient to authority
1319,contumelious,"(of behavior) scornful and insulting, insolent"
1320,convalescent,recovering one's health and strength after illness
1321,conventional,based on or in accordance with what is generally done
1322,convergent,"coming closer together, to focus"
1323,conversant,"closely familiar, current, having frequent interaction"
1324,convertible,able to be converted
1325,convex,curved or bowed outward like the outside of a circle
1326,convivial,of or relating to a feast or entertainment
1327,convoluted,"extremely complex and difficult to follow (argument, often)"
1328,copious,abundant in supply or quantity
1329,cordial,"warm and friendly, courteous"
1330,corporal,"of the human body, physical"
1331,corporate,"of, or relating to a corporation"
1332,corporeal,"tangible, material"
1333,corpulent,"large in body, fat, overweight"
1334,correlative,"mutually related, corresponding"
1335,corrigible,able to be corrected or set right
1336,corrosive,"having the power of gradually wearing, or destroying matter"
1337,corruptible,showing a willingness to act dishonestly
1338,cosmetic,"external or superficial, pertaining only to the surface"
1339,cosmic,of or from or pertaining to the cosmos or universe
1340,cosmopolitan,familiar with and at ease in many different countries
1341,courageous,"of a person, displaying or possessing bravery"
1342,courtesy,given or done as a polite gesture
1343,covert,not openly acknowledged or displayed
1344,coy,artfully or affectedly shy or reserved
1345,crass,lacking in sensitivity or due consideration
1346,craven,cowardly
1347,credible,believable or plausible
1348,creditable,credible or believable
1349,credulous,having or showing too great a readiness to believe things
1350,crematory,pertaining to the act of cremating bodies
1351,crepuscular,"of or resembling twilight, dim"
1352,crestfallen,sad because of a recent disappointment
1353,critical,inclined to find fault or to judge with severity
1354,crustaceous,of the nature of or pertaining to a crust or shell
1355,cryptic,having a meaning that is mysterious or obscure
1356,culinary,relating to cookery or the activity of cooking
1357,culpable,deserving blame
1358,cumbersome,"burdensome or hindering, as a weight or drag"
1359,cumulative,increasing in quantity or force by successive additions
1360,cunning,having or showing skill in achieving one's ends by deceit
1361,curable,able of being cured
1362,cursive,(handwriting) in flowing strokes with the letters connected
1363,cursory,hasty and therefore not thorough or detailed
1364,curt,"brief or terse, especially to the point of being rude"
1365,cycloid,"resembling a circle, cyclical"
1366,cynic,churlish or satirical
1367,cynical,believing that people are motivated by self-interest
1368,dank,unpleasantly moist or humid
1369,dapper,"neat, trim"
1370,darkle,uncannily or threateningly dark or obscure
1371,dastard,"meanly shrinking from danger, cowardly"
1372,daunting,causing fear or discouragement
1373,dauntless,invulnerable to fear or intimidation
1374,debatable,open to discussion or argument
1375,debonair,"gracious, courteous"
1376,decapod,having ten legs
1377,deceitful,deliberately misleading or cheating
1378,deciduous,"falling off or shed at a particular season, point of growth"
1379,decimal,pertaining to or proceeding by tenths or the power of ten
1380,decisive,"settling an issue, producing a definite result"
1381,declamatory,"bombastic, ostentatiously lofty in style"
1382,declarative,a statement in the form of a formal announcement
1383,decorous,in keeping with good taste and propriety
1384,decrepit,weakened or worn out from age or wear
1385,defamatory,"damaging to someone's reputation, especially if untrue"
1386,defensible,capable of being defended against armed attack
1387,defensive,used or intended to defend or protect
1388,deferential,"respectful, reverential"
1389,defiant,"showing open resistance, provocative"
1390,deficient,"lacking something essential, often construed with in"
1391,definite,having distinct limits
1392,definitive,explicitly defined
1393,deft,"quick and neat in action, skillful"
1394,defunct,no longer existing or functioning
1395,degenerate,"having fallen below a desirable level, especially morally"
1396,deist,someone who believes in the existence of a supreme being
1397,delectable,"pleasing to the taste, delicious"
1398,deleterious,causing harm or damage
1399,delirious,in a state of wild excitement or ecstasy
1400,demented,insane or mentally ill
1401,demonstrable,clearly apparent or capable of being logically proved
1402,demonstrative,"that serves to demonstrate, show or prove"
1403,demulcent,soothing or softening
1404,demure,"reserved, modest, and shy"
1405,dendroid,"(of an organism or structure) tree-shaped, branching"
1406,deplorable,"deserving strong condemnation, shockingly bad"
1407,deponent,(Greek Grammar) having passive form but an active meaning
1408,derelict,"abandoned, forsaken, dilapidated, neglected"
1409,derisible,subject to or deserving of contemptuous ridicule
1410,derivative,imitative of the work of someone else
1411,derogatory,showing a degrading or disrespectful attitude
1412,descendant,descending from a biological ancestor
1413,desiccant,causing dryness
1414,desolate,barren or laid waste
1415,desperate,"being filled with, or in a state of despair, hopeless"
1416,despicable,"fit or deserving to be despised, contemptible"
1417,despondent,in low spirits from loss of hope or courage
1418,despotic,characteristic of an absolute ruler or absolute rule
1419,destitute,without the basic necessities of life
1420,desultory,"lacking a plan, purpose, or enthusiasm"
1421,determinate,having exact and discernible limits or form
1422,detrimental,tending to cause harm
1423,devious,showing skillful use of underhanded tactics to achieve goals
1424,devoid,"empty, having none of, completely without"
1425,devout,devoted to religion or to religious feelings and duties
1426,dexterous,skillful with one's hands
1427,diabolic,showing wickedness typical of a devil
1428,diacritical,capable of distinguishing or of making a distinction
1429,diaphanous,"light, delicate, and translucent"
1430,diatomic,consisting of two atoms
1431,didactic,"intended to teach, particularly having a moral lesson"
1432,differential,"of, or relating to a difference"
1433,diffident,lacking confidence in oneself
1434,diffusible,able to intermingle by diffusion
1435,dilatory,"slow to act, sluggish"
1436,diligent,"performing with intense concentration, focus"
1437,diminutive,"small, little, tiny"
1438,dimly,"dull and subdued, indistinct"
1439,diplomatic,of the relationships between the governments of countries
1440,discernible,possible to perceive or recognize (something)
1441,discerning,showing good or outstanding judgment and understanding
1442,disciplinary,"corrective, administering or used for discipline"
1443,disconsolate,"cheerless, dreary"
1444,discordant,not in harmony or accord
1445,discourteous,showing rudeness and a lack of consideration for others
1446,discreet,"respectful of privacy or secrecy, quiet, diplomatic"
1447,discrepant,"showing difference, inconsistent, dissimilar"
1448,discrete,"separate, distinct, individual, non-continuous"
1449,discursive,digressing from subject to subject
1450,disheveled,"untidy, disordered (of clothes, appearance)"
1451,dishonest,not honest
1452,disingenuous,not candid or sincere
1453,disinterested,"having no stake or interest in the outcome, free of bias"
1454,disjunctive,"not connected, separated"
1455,dismal,disappointingly inadequate
1456,disobedient,not obedient
1457,disparate,"essentially different in kind, not allowing comparison"
1458,dispassionate,"not showing, and not affected by emotion, bias, or prejudice"
1459,disputatious,(of a person) fond of having heated arguments
1460,disreputable,"not respectable, lacking repute, discreditable"
1461,dissentient,in opposition to a majority or official opinion
1462,dissentious,not in agreement or harmony
1463,dissimilar,"not similar, unlike, different"
1464,dissolute,"lax in morals, licentious"
1465,dissonant,unsuitable in combination
1466,distensible,capable of swelling or stretching
1467,distraught,deeply upset and agitated
1468,diurnal,"happening during daylight, or active during that time"
1469,divergent,tending to be different or develop in different directions
1470,diverse,showing a great deal of variety
1471,divertible,capable of being diverted
1472,divisible,capable of being divided without a remainder
1473,divisive,having a quality that divides or separates
1474,docile,"yielding to control or supervision, direction, or management"
1475,dogged,"persistent in effort, stubbornly tenacious"
1476,dogmatic,"opinionated, pragmatic"
1477,doleful,"mournful, bringing feelings of sadness"
1478,dolesome,"doleful, dismal, gloomy"
1479,dolorous,feeling or expressing great sorrow or distress
1480,domestic,of or relating to the home
1481,dominant,"most important, powerful, or influential"
1482,dormant,"inactive, idle"
1483,dour,"stern, harsh and forbidding"
1484,dowdy,plain and unfashionable in style or dress
1485,drastic,"extreme, severe"
1486,droll,amusing in an odd way
1487,drowsy,"inclined to drowse, heavy with sleepiness, lethargic, dozy"
1488,dubious,hesitating or doubting
1489,ductile,capable of being made into thin wire without breaking
1490,dulcet,sweet and soothing
1491,duteous,willingly obedient out of a sense of duty and respect
1492,dutiable,on which duty must be paid when imported or sold
1493,dutiful,accepting of one's obligations and willing to do them well
1494,dynamic,"characterized by constant change, activity, or progress"
1495,earnest,"ardent in the pursuit of an object, eager to obtain or do"
1496,eatable,"able to be eaten, edible"
1497,ebullient,cheerful and full of energy
1498,eccentric,unconventional and slightly strange
1499,eclectic,made up of things selected from various sources
1500,ecstatic,feeling or characterized by extreme happiness
1501,ecumenical,"interdenominational, sometimes by extension, interreligious"
1502,edible,"that can be eaten without harm, non-toxic to humans"
1503,editorial,"of, or relating to the preparing of material for publication"
1504,effective,successful in producing a desired or intended result
1505,effectual,"producing the intended result, entirely adequate"
1506,effervescent,"giving off bubbles, fizzy"
1507,effete,"of substances, quantities etc: exhausted, spent, worn-out"
1508,efficacious,effective
1509,efficient,making good use of time or energy
1510,efflorescent,bursting into flower
1511,effulgent,"shining, resplendent, with radiant splendor"
1512,effusive,expressing feelings in an unrestrained or heartfelt manner
1513,egalitarian,characterized by equality for all people
1514,egocentric,regarding the self as the center of all things
1515,elated,"very happy or proud, jubilant, in high spirits"
1516,eleemosynary,"relating to charity, alms, or almsgiving"
1517,eligible,having the right to do or obtain something
1518,elite,"of high birth or social position, aristocratic or patrician"
1519,elliptical,"in a shape reminding of an ellipse, oval"
1520,eloquent,fluently persuasive and articulate
1521,elusive,"evading capture, comprehension or remembrance"
1522,emergent,in the process
1523,emeritus,having retired but retaining his title as an honor
1524,eminent,(a person) famous and respected within a particular sphere
1525,emollient,having the quality of softening or soothing the skin
1526,emphatic,expressing something forcibly and clearly
1527,empirical,pertaining to or based on experience
1528,encyclical,intended for general circulation
1529,endemic,natural to or characteristic of a specific people or place
1530,energetic,"possessing, exerting, or displaying energy"
1531,enigmatic,"perplexing, mysterious, resembling an enigma"
1532,enormous,"deviating from the norm, unusual, extraordinary"
1533,enthusiastic,"with zealous fervor, excited, motivated"
1534,ephemeral,"lasting a very short time, short-lived, transitory"
1535,epicurean,"pursuing pleasure, esp. in reference to food or comfort"
1536,epidemic,"like or having to do with an epidemic, widespread"
1537,epistolary,"of or relating to letters, or the writing of letters"
1538,epizootic,like or having to do with an epidemic among animals
1539,equable,"unvarying, calm and steady, constant and uniform"
1540,equestrian,of horseback riding or horseback riders
1541,equine,of or relating to a horse or horses
1542,equitable,"characterized by equity or fairness, fair, reasonable"
1543,equivalent,"similar or identical in value, meaning or effect"
1544,equivocal,"of doubtful nature or character, questionable, dubious"
1545,errant,straying from the proper course or standard
1546,erratic,"unsteady, prone to unexpected changes, not consistent"
1547,erroneous,"containing error, mistaken, incorrect, wrong"
1548,ersatz,"made in imitation, artificial"
1549,erudite,"characterized by great knowledge, learned or scholarly"
1550,esoteric,understood by or meant for only a select few
1551,estimable,"worthy of esteem, admirable"
1552,ethereal,"light, airy, or tenuous, delicate"
1553,eugenic,of bringing about improvement in produced offspring
1554,euphonious,"pleasant-sounding, agreeable to the ear"
1555,euphoric,feeling of great well-being or intense feeling of happiness
1556,eureka,an exclamation of triumph at a discovery
1557,evanescent,"vanishing, fading away, fleeting"
1558,evangelical,pertaining to the gospel(s) of the christian new testament
1559,evasive,tending to avoid making revelations about oneself
1560,eventual,happening at some indefinite future time
1561,evidential,of or providing evidence
1562,exact,strictly accurate or correct
1563,exceptionable,"liable to exception  or objection, objectionable"
1564,excess,"more than is normal, necessary or specified"
1565,excitable,easily excited
1566,excusable,possible to excuse
1567,execrable,"utterly detestable, abominable, abhorrent"
1568,exemplary,"worthy of imitation, commendable"
1569,exhaustive,including every possible element
1570,exigent,"urgent, needing immediate action"
1571,existential,"of, or relating to existence"
1572,exorbitant,"exceeding proper limits, extravagant"
1573,exotic,"foreign, with the connotation of excitingly foreign"
1574,expedient,"simple, easy, or quick, convenient"
1575,expeditious,"fast, prompt, speedy"
1576,explicit,"very specific, clear, or detailed"
1577,expository,"serving to explain, explicate, or elucidate"
1578,expressive,effectively conveying thought or feeling
1579,extant,"in existence, still existing, not destroyed or lost"
1580,extemporaneous,"without preparation or advanced thought, offhand"
1581,extempore,"carried out with no preparation, impromptu"
1582,extensible,capable of being extended
1583,extensive,"in the nature of an extent, wide, widespread"
1584,external,outside of something
1585,extinct,"no longer in existence, that has ended or died out"
1586,extrajudicial,carried out without legal authority
1587,extraneous,"not belonging to, or dependent upon, a thing"
1588,extraordinary,"not ordinary, exceptional, unusual"
1589,extravagant,"spending much more than is necessary or wise, wasteful"
1590,extremist,"holding extreme views, especially on a political subject"
1591,extrinsic,"external, separable from the thing itself, inessential"
1592,exuberance,effusively and almost uninhibitedly enthusiastic
1593,exuberant,"very high-spirited, extremely energetic or enthusiastic"
1594,fabulous,"extraordinary, especially in being very large"
1595,facetious,not meant to be taken seriously or literally
1596,facile ,"moving, acting, working, proceeding, etc , with ease"
1597,factious,"of, pertaining to, or caused by factions"
1598,fallacious,"containing a fallacy,  logically unsound"
1599,fallible,capable of making mistakes or being wrong
1600,fanatical,having an extreme zeal or enthusiasm for something
1601,fanciless,"having no fancy, without ideas or imagination"
1602,farcical,"resembling a farce, ludicrous, absurd"
1603,fastidious,"excessively particular, demanding, or fussy about details"
1604,fatuous,"foolish or inane, especially in an unconscious manner, silly"
1605,faulty,having or displaying faults not adequate or acceptable
1606,feasible,that can be done in practice
1607,febrile,"feverish, or having a high temperature"
1608,feckless,"ineffective, incompetent, futile"
1609,fecund,"highly fertile, able to produce offspring"
1610,felicitous,"well-suited for the occasion, as an action or expression"
1611,felonious,"having the quality of felony, malignant, malicious"
1612,feminine,"of the female sex, biologically female, not male, womanly"
1613,feral,"existing in a natural state, not domesticated, wild"
1614,ferocious,marked by extreme and violent energy
1615,fertile,"capable of growing abundant crops, productive"
1616,fervent,having or showing great warmth or intensity of spirit
1617,fervid,"heated or vehement in spirit, enthusiasm, etc"
1618,festal,"festive, relating to a festival or feast"
1619,festive,"having the atmosphere,or attitude of a celebration"
1620,fetid,"having an offensive odor, stinking"
1621,feudal,"of, or relating to the feudal system"
1622,fickle,"likely to change, casually changeable"
1623,fictitious,"not real, invented, contrived"
1624,fiducial,accepted as a fixed basis of reference
1625,figurative,"metaphorical, as opposed to literal"
1626,filial,"of, pertaining to, or befitting a son or daughter"
1627,financial,pertaining or relating to money matters
1628,finicky,"fastidious and fussy, difficult to please, exacting"
1629,finite,"having bounds or limits, not infinite, measurable"
1630,fiscal,"related to the treasury of a country, company, or region"
1631,fitful,"irregular, unsteady, characterized by fits"
1632,flaccid,"soft and limp, not firm, flabby"
1633,flagrant,"obvious and offensive, blatant, scandalous"
1634,flamboyant,"showy, bold or audacious in behaviour, appearance, etc"
1635,flammable,"capable of burning, especially a liquid"
1636,fledgling,untried or inexperienced
1637,flexible,"capable of being flexed, bent or twisted, without breaking"
1638,flimsy,"likely to bend or break under pressure, weak, shaky"
1639,flippant,"frivolously disrespectful, shallow or lacking in seriousness"
1640,floral,"of, pertaining to, or connected with flowers"
1641,florid,"having a rosy or pale red colour, ruddy"
1642,fluent,"able to speak a language accurately, rapidly and confidently"
1643,fluvial,of or pertaining to a river
1644,fog,a cloudlike mass or layer of minute water droplets
1645,foible,"a minor weakness or failing of character, slight flaw"
1646,foppish,"like a fop, a man overly concerned with his appearance"
1647,forby,"close by, near"
1648,forcible,done or effected by force
1649,foreign,from a different country
1650,forensic,relating to the use of science in investigation of evidence
1651,forlorn,"desolate or dreary, as in feeling, condition"
1652,formidable,"causing fear, apprehension, or dread"
